MATRIKS RISK ISSUE,,,,,,,,Aktivitas Unit Kerja,,,Contoh Temuan
NO,MEGA,No,MAJOR,No,SUB MAJOR,CODE,RISK ISSUE,KC,KR,KP,
1,STRATEGIS,1.1,Perencanaan Strategis,1.1.1,Penyusunan & Distribusi Perencanaan Strategis,PDP1,Rencana Kerja/ Target Unit Kerja tidak sesuai dengan kondisi bisnis dan atau potensi wilayah,√,√,,Tidak tercapainya target anggota pada posisi tahun kemarin dan bulan berjalan berdasarkan cashflow terbaru
,,,,,,PDP2,Breakdown Target atau Rencana Kerja terlambat,,√,√,Breakdown target ke unit kerja di bawah supervisi Regional/Divisi tidak merata atau tidak tercapai
,,,,1.1.2,Evaluasi Rencana Strategis,ERS1,Realisasi Cashflow tidak sesuai dengan target yang telah ditetapkan/tidak tercapai,√,√,,Realisasi biaya pengeluaran cabang melebihi target cashflow
,,,,,,ERS2,Tidak optimalnya kinerja tenaga pemasaran (Field Officer),√,√,√,FO tidak mencapai target individual maupun target Kantor Cabang
,,1.2,Kebijakan dan Prosedur,1.2.1,Penyusunan Kebijakan & Prosedur,PKP1,SOP/manual/ketentuan lain terlambat/tidak memadai/tidak lengkap/tidak ada,,,√,Pembuat kebijakan belum membuat ketentuan ataupun belum melakukan update terhadap ketentuan yang sudah ada
,,,,,,PKP2,Kebijakan dan prosedur tidak comply dengan ketentuan internal/regulasi eksternal,,,√,Kebijakan yang di keluarkan oleh lembaga tidak sesuai dengan ketentuan Eksternal (KemenkopUKM maupun ketentuan perundang-undangan)
,,,,1.2.2,Pengkinian Kebijakan & Prosedur,KKP1,"Kebijakan dan prosedur tidak/belum dapat diimplementasikan, kadaluarsa, atau tidak sesuai dengan perkembangan bisnis",,,√,"Kebijakan telah kadaluarsa, bertentangan dengan ketentuan lain, atau tidak sesuai dengan perkembangan bisnis"
,,1.3,Pengembangan Produk & Aktivitas,1.3.1,Perancangan Produk / Aktivitas,RPA1,Penerbitan produk dan pelaksanaan aktivitas/jasa baru tidak sesuai dengan ketentuan,,,√,Adanya produk/aktivitas baru belum memiliki ketentuan
,,,,1.3.2,"Uji Coba, Test Market dan Evaluasi",UTE1,Kegagalan uji coba dan tes market penerbitan produk atau pelaksanaan aktivitas jasa,,,√,Atas aktivitas baru mengalami kegagalan uji coba
2,OPERASIONAL,2.1,Proses Transaksi,2.1.1,Pelaksanaan Transaksi,PTI1,"Profil anggota tidak akurat, tidak lengkap & tidak diupdate pada sistem",√,,,"Anggota tidak memenuhi syarat pada saat perekrutan anggota baru
Inputan pada sistem tidak sesuai pada Formulir Pengajuan/UK Data (Uji Kelayakan)
Data pada UK masih terdapat field yang kosong
Tidak ada dokumen capres
Jumlah anggota dalam satu kelompok melebihi ketentuan (8 anggota)"
